estado,anio,periodo,fecha,metric,indicador,fuente,valor
Estados Unidos Mexicanos,2025,T2,2025-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,0.0
Estados Unidos Mexicanos,2025,T3,2025-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,0.0
Estados Unidos Mexicanos,2025,T4,2025-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,0.0
Estados Unidos Mexicanos,2025,6 Meses,2025-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,0.0
Estados Unidos Mexicanos,2025,9 Meses,2025-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,0.0
Estados Unidos Mexicanos,2025,Anual,2025-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,0.0
Aguascalientes,2005,T1,2005-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,719.751
Aguascalientes,2005,T2,2005-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,752.883
Aguascalientes,2005,T3,2005-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,744.514
Aguascalientes,2005,T4,2005-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,832.015
Aguascalientes,2005,6 Meses,2005-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,736.317
Aguascalientes,2005,9 Meses,2005-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,739.049
Aguascalientes,2005,Anual,2005-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,762.291
Aguascalientes,2006,T1,2006-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,810.146
Aguascalientes,2006,T2,2006-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,818.637
Aguascalientes,2006,T3,2006-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,825.416
Aguascalientes,2006,T4,2006-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,855.717
Aguascalientes,2006,6 Meses,2006-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,814.392
Aguascalientes,2006,9 Meses,2006-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,818.066
Aguascalientes,2006,Anual,2006-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,827.479
Aguascalientes,2007,T1,2007-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,888.954
Aguascalientes,2007,T2,2007-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,852.055
Aguascalientes,2007,T3,2007-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,828.142
Aguascalientes,2007,T4,2007-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,818.513
Aguascalientes,2007,6 Meses,2007-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,870.505
Aguascalientes,2007,9 Meses,2007-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,856.384
Aguascalientes,2007,Anual,2007-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,846.916
Aguascalientes,2008,T1,2008-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,735.76
Aguascalientes,2008,T2,2008-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,767.336
Aguascalientes,2008,T3,2008-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,825.119
Aguascalientes,2008,T4,2008-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,863.945
Aguascalientes,2008,6 Meses,2008-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,751.548
Aguascalientes,2008,9 Meses,2008-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,776.072
Aguascalientes,2008,Anual,2008-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,798.04
Aguascalientes,2009,T1,2009-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,857.542
Aguascalientes,2009,T2,2009-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,893.676
Aguascalientes,2009,T3,2009-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,1017.937
Aguascalientes,2009,T4,2009-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,1035.31
Aguascalientes,2009,6 Meses,2009-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,875.609
Aguascalientes,2009,9 Meses,2009-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,923.052
Aguascalientes,2009,Anual,2009-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,951.116
Aguascalientes,2010,T1,2010-03-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,987.093
Aguascalientes,2010,T2,2010-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,1019.652
Aguascalientes,2010,T3,2010-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,1032.053
Aguascalientes,2010,T4,2010-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,1004.564
Aguascalientes,2010,6 Meses,2010-06-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,1003.373
Aguascalientes,2010,9 Meses,2010-09-30,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,1012.933
Aguascalientes,2010,Anual,2010-12-31,Millones de pesos a precios corrientes,remuneraciones_comercio_informal,MEITEF_79.xlsx,1010.841
