estado,anio,periodo,fecha,metric,indicador,fuente,valor
Estados Unidos Mexicanos,2015,6 Meses,2015-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2165134.0
Estados Unidos Mexicanos,2015,9 Meses,2015-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2189307.0
Estados Unidos Mexicanos,2015,Anual,2015-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2203643.0
Estados Unidos Mexicanos,2016,T1,2016-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2193542.0
Estados Unidos Mexicanos,2016,T2,2016-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2234761.0
Estados Unidos Mexicanos,2016,T3,2016-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2196873.0
Estados Unidos Mexicanos,2016,T4,2016-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2285528.0
Estados Unidos Mexicanos,2016,6 Meses,2016-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2214152.0
Estados Unidos Mexicanos,2016,9 Meses,2016-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2208392.0
Estados Unidos Mexicanos,2016,Anual,2016-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2227676.0
Estados Unidos Mexicanos,2017,T1,2017-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2053593.0
Estados Unidos Mexicanos,2017,T2,2017-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2090040.0
Estados Unidos Mexicanos,2017,T3,2017-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2055861.0
Estados Unidos Mexicanos,2017,T4,2017-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2207186.0
Estados Unidos Mexicanos,2017,6 Meses,2017-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2071817.0
Estados Unidos Mexicanos,2017,9 Meses,2017-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2066498.0
Estados Unidos Mexicanos,2017,Anual,2017-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2101670.0
Estados Unidos Mexicanos,2018,T1,2018-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2104727.0
Estados Unidos Mexicanos,2018,T2,2018-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2172441.0
Estados Unidos Mexicanos,2018,T3,2018-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2171296.0
Estados Unidos Mexicanos,2018,T4,2018-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2264547.0
Estados Unidos Mexicanos,2018,6 Meses,2018-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2138584.0
Estados Unidos Mexicanos,2018,9 Meses,2018-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2149488.0
Estados Unidos Mexicanos,2018,Anual,2018-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2178253.0
Estados Unidos Mexicanos,2019,T1,2019-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2220697.0
Estados Unidos Mexicanos,2019,T2,2019-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2221584.0
Estados Unidos Mexicanos,2019,T3,2019-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2199147.0
Estados Unidos Mexicanos,2019,T4,2019-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2256367.0
Estados Unidos Mexicanos,2019,6 Meses,2019-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2221141.0
Estados Unidos Mexicanos,2019,9 Meses,2019-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2213810.0
Estados Unidos Mexicanos,2019,Anual,2019-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2224449.0
Estados Unidos Mexicanos,2020,T1,2020-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2239944.0
Estados Unidos Mexicanos,2020,T2,2020-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1652087.0
Estados Unidos Mexicanos,2020,T3,2020-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2061695.0
Estados Unidos Mexicanos,2020,T4,2020-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2282005.0
Estados Unidos Mexicanos,2020,6 Meses,2020-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1946016.0
Estados Unidos Mexicanos,2020,9 Meses,2020-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,1984576.0
Estados Unidos Mexicanos,2020,Anual,2020-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2058933.0
Estados Unidos Mexicanos,2021,T1,2021-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2332959.0
Estados Unidos Mexicanos,2021,T2,2021-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2469565.0
Estados Unidos Mexicanos,2021,T3,2021-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2525434.0
Estados Unidos Mexicanos,2021,T4,2021-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2650262.0
Estados Unidos Mexicanos,2021,6 Meses,2021-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2401262.0
Estados Unidos Mexicanos,2021,9 Meses,2021-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2442653.0
Estados Unidos Mexicanos,2021,Anual,2021-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2494555.0
Estados Unidos Mexicanos,2022,T1,2022-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2613537.0
Estados Unidos Mexicanos,2022,T2,2022-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2754818.0
Estados Unidos Mexicanos,2022,T3,2022-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2782317.0
Estados Unidos Mexicanos,2022,T4,2022-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2882264.0
Estados Unidos Mexicanos,2022,6 Meses,2022-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2684177.0
Estados Unidos Mexicanos,2022,9 Meses,2022-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2716891.0
Estados Unidos Mexicanos,2022,Anual,2022-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2758234.0
Estados Unidos Mexicanos,2023,T1,2023-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2793329.0
Estados Unidos Mexicanos,2023,T2,2023-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2942761.0
Estados Unidos Mexicanos,2023,T3,2023-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2900325.0
Estados Unidos Mexicanos,2023,T4,2023-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2943737.0
Estados Unidos Mexicanos,2023,6 Meses,2023-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2868045.0
Estados Unidos Mexicanos,2023,9 Meses,2023-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2878805.0
Estados Unidos Mexicanos,2023,Anual,2023-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2895038.0
Estados Unidos Mexicanos,2024,T1,2024-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2828277.0
Estados Unidos Mexicanos,2024,T2,2024-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2973070.0
Estados Unidos Mexicanos,2024,T3,2024-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2919178.0
Estados Unidos Mexicanos,2024,T4,2024-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,3022998.0
Estados Unidos Mexicanos,2024,6 Meses,2024-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2900674.0
