Fecha,vab_informal_real_millones,remuneraciones_informal_reales_millones,puestos_trabajo_informal_unidades,ISR,IVA,ingreso_obrero_patronal_nacional,ISR_sobre_VAB_informal_pct,IVA_sobre_VAB_informal_pct,IMSS_sobre_Remuneraciones_informal_pct
2018-09-30,1752355.987,207443.6555411346,2171296.0,380034.975,241945.219,82982.52,21.687087430825777,13.80685321903146,40.00243814810001
2018-12-31,1828735.702,218416.33601660983,2264547.0,407197.3760000001,219438.779,82433.93,22.266606134208892,11.999480228882195,37.74165042020079
2019-03-31,1763939.207,213033.81062211207,2220697.0,464295.02,243418.413,83169.94,26.321486486467105,13.79970534324656,39.04072304631971
2019-06-30,1799052.861,211420.733138277,2221584.0,463055.757,234514.301,87999.2,25.73886332292712,13.035431369684472,41.62278632457738
2019-09-30,1800140.205,210309.81851103055,2199147.0,371636.193,232842.062,90038.51000000001,20.644847105117574,12.934662608682748,42.81231881490953
2019-12-31,1909213.158,220438.72325941175,2256367.0,388843.111,222551.991,88902.4,20.366668298438366,11.656738801922714,40.32975635382349
2020-03-31,1832706.013,238958.2076263525,2239944.0,542596.883,297757.863,90824.72,29.606324154074787,16.246897259456965,38.008621215479764
2020-06-30,1168123.338,160356.88138403956,1652087.0,425850.059,192040.5,88621.83,36.45591566804224,16.440087596297985,55.265373855556035
2020-09-30,1705904.849,222022.67601808268,2061695.0,377066.505,230144.367,90330.15,22.103607081077005,13.49104360274903,40.68510100862087
2020-12-31,1966809.312,255116.83105593952,2282005.0,417399.911,267581.788,86665.73999999999,21.222185010683944,13.604866845373161,33.971000518188774
2021-03-31,1774411.182,271728.3917729857,2332959.0,576802.612,299731.635,94658.97,32.50670520177098,16.891892817208362,34.835877613805785
2021-06-30,1932227.732,279666.4765908713,2469565.0,429924.026,259413.956,97108.42,22.250173666382302,13.425640865400847,34.72293897493531
2021-09-30,1973093.802,297573.0472037521,2525434.0,410529.142,301128.287,100570.23,20.8063672180143,15.261731940709833,33.79682096380801
2021-12-31,2143314.605,314858.3764337911,2650262.0,478440.275,263424.765,101479.25,22.322447385179835,12.29053188857452,32.230125540693436
2022-03-31,1919962.841,307857.5724196701,2613537.0,703905.148544,291667.843982,104884.3,36.662436038469146,15.191327548302274,34.06909863403398
2022-06-30,2052968.787,310111.72035768727,2754818.0,555672.497262,329881.653611,112657.36,27.06677767244593,16.068517733923052,36.32799168959477
2022-09-30,2048970.904,317225.5661309526,2782317.0,493726.233566,322674.267836,116056.22,24.096302812409288,15.74811370947608,36.58476251314855
2022-12-31,2160113.081,333236.3219339515,2882264.0,520535.671915,277578.907321,115210.19,24.097612133991795,12.85020260108318,34.573118959953895
2023-03-31,2035272.813,339039.6849626995,2793329.0,722833.1312800001,293355.893197,120448.88999999998,35.515294395081185,14.413590714877792,35.52648711706169
2023-06-30,2133905.146,337758.05000273936,2942761.0,655778.263665,316163.822053,128266.71,30.73136895959292,14.816207864049078,37.975915007491224
2023-09-30,2091165.465,340026.12964322785,2900325.0,544534.410413,343534.275807,131726.21,26.03975723236229,16.42788586349383,38.740025696911474
2023-12-31,2156306.377,352613.2893617364,2943737.0,584085.60924,413528.576931,130605.68,27.087320033464803,19.17763548546979,37.03935272445593
2024-03-31,2065709.627,341967.167555858,2828277.0,716128.44318,319353.74871,135316.64,34.66743020508758,15.459759907000715,39.5700677837433
2024-06-30,2206732.441,352708.31125213765,2973070.0,720518.8784640001,351517.155657,142225.24,32.650939691514694,15.929305661437912,40.323756334261326
2024-09-30,2205752.163,346626.5543036811,2919178.0,601363.627967,367972.628139,145251.89,27.26342687335721,16.68241039548739,41.90443236288936
2024-12-31,2301224.452,370761.36683610914,3022998.0,646483.792488,369138.985177,142960.09999999998,28.09303507644112,16.0409813504363,38.55852113718037
